id,user_id,name,budget_limit,color,icon,created_by_user,created_at,updated_at
660e8400-e29b-41d4-a716-446655440000,550e8400-e29b-41d4-a716-446655440000,Groceries,6000,#10b981,ShoppingCart,false,2025-01-01 10:05:00+00,2025-01-01 10:05:00+00
660e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440000,Entertainment,3000,#8b5cf6,Film,false,2025-01-01 10:05:00+00,2025-01-01 10:05:00+00
660e8400-e29b-41d4-a716-446655440002,550e8400-e29b-41d4-a716-446655440000,Rent,15000,#f59e0b,Home,false,2025-01-01 10:05:00+00,2025-01-01 10:05:00+00
660e8400-e29b-41d4-a716-446655440003,550e8400-e29b-41d4-a716-446655440000,Dining,4000,#ef4444,UtensilsCrossed,false,2025-01-01 10:05:00+00,2025-01-01 10:05:00+00
660e8400-e29b-41d4-a716-446655440004,550e8400-e29b-41d4-a716-446655440000,Transportation,2000,#3b82f6,Car,false,2025-01-01 10:05:00+00,2025-01-01 10:05:00+00
660e8400-e29b-41d4-a716-446655440005,550e8400-e29b-41d4-a716-446655440000,Shopping,3000,#ec4899,Shirt,false,2025-01-01 10:05:00+00,2025-01-01 10:05:00+00
660e8400-e29b-41d4-a716-446655440006,550e8400-e29b-41d4-a716-446655440000,Healthcare,2500,#14b8a6,HeartPulse,false,2025-01-01 10:05:00+00,2025-01-01 10:05:00+00
660e8400-e29b-41d4-a716-446655440007,550e8400-e29b-41d4-a716-446655440000,Education,2000,#f97316,BookOpen,false,2025-01-01 10:05:00+00,2025-01-01 10:05:00+00
660e8400-e29b-41d4-a716-446655440008,550e8400-e29b-41d4-a716-446655440001,Groceries,5500,#10b981,ShoppingCart,false,2025-01-15 12:05:00+00,2025-01-15 12:05:00+00
660e8400-e29b-41d4-a716-446655440009,550e8400-e29b-41d4-a716-446655440001,Entertainment,4000,#8b5cf6,Film,false,2025-01-15 12:05:00+00,2025-01-15 12:05:00+00
660e8400-e29b-41d4-a716-446655440010,550e8400-e29b-41d4-a716-446655440001,Rent,12000,#f59e0b,Home,false,2025-01-15 12:05:00+00,2025-01-15 12:05:00+00
660e8400-e29b-41d4-a716-446655440011,550e8400-e29b-41d4-a716-446655440001,Dining,3500,#ef4444,UtensilsCrossed,false,2025-01-15 12:05:00+00,2025-01-15 12:05:00+00
